cell_meta_cluster,CD3,CD4,CD8,CD14,CD20,CD31,CD45,CD68,CD163_nuc_exclude,CK17,Collagen1,Fibronectin,ECAD_smoothed,HLADR,SMA,Vim,cell_meta_cluster_rename
2,0.3196692551084016,0.19489261816195358,0.40365400393943157,0.07760372499275933,0.08727732579972072,0.021508464403847686,0.3747546315242968,0.051879004130296495,0.052044112527911975,0.0340503264858904,0.09127999389226811,0.06812607066154298,0.060744165083632604,0.08448396933217094,0.027403266769413435,0.09808761445194651,CD8T
7,0.17478062421167426,0.2764070999532695,0.07182120236866936,0.09370007648761836,0.05960681137448654,0.019892507461943532,0.2751710836017757,0.06062583940637467,0.07162664053291769,0.026087738255443128,0.08494485106556571,0.061740681462879414,0.08357595886661424,0.4883325269567271,0.02007145907188958,0.10932471583564449,APC
14,0.13931981429102494,0.25447608893934487,0.049915259539547834,0.22791319692770298,0.07092078513741276,0.021496140264041994,0.22106696301407855,0.15168187576076517,0.39293941996539,0.022552463206802355,0.0929168241317311,0.06387272277222204,0.06596844255551336,0.12731026870829604,0.024094837538416614,0.09749806672324932,M2_macrophage
21,0.35758177268524216,0.40557867956357746,0.06578256831995287,0.07838203997713751,0.1271580983190879,0.02608346322213222,0.4289115804541506,0.05736204204173252,0.05112539124916305,0.036922214872855845,0.06828336512224903,0.050763396353290316,0.06538432950171634,0.10390043953253955,0.025264094800442893,0.10208733712697594,CD4T
22,0.1714516994065028,0.17984537804717204,0.05073097885693119,0.07181612604594598,0.4290923404759552,0.02741974455135698,0.46763188967577984,0.056567637544095564,0.043064764006214264,0.0385841973159384,0.05349100165760546,0.03704729014034565,0.05399315651805051,0.17508390213937305,0.023893164849964576,0.10274189670376319,Bcell
23,0.142214628470768,0.18653793470832,0.05543982964266496,0.14522877396001282,0.10328709227260732,0.031096381241013153,0.21508540539228804,0.27140259602905337,0.11943350483216872,0.03028936317769493,0.08877381704310328,0.0663564519073165,0.08683626684766196,0.1264836894706023,0.03303058274629293,0.12489151073409724,M1_macrophage
24,0.05267375636872693,0.05512812568807399,0.032989879106618075,0.057495438539277945,0.025131929105230953,0.017337364530049176,0.049377513225734464,0.03006824336444178,0.03626872054545603,0.2747853204294602,0.1107782351046321,0.09366415213614604,0.49448306917611917,0.03768340198706351,0.034246229814524964,0.14181565968779655,tumor_ck17
25,0.10951801048543283,0.11438334709747575,0.04463659214975102,0.07608327846153111,0.09471822157682458,0.32805060887878174,0.15043860434172923,0.04033833674500252,0.04439287681067709,0.029767055947646125,0.0957028927853768,0.11002101617733286,0.08837149735662152,0.06472256726248636,0.06880225168610173,0.2602428758416218,endothelium
26,0.09786951323876951,0.17253460081272948,0.04805145602118784,0.35200654926449376,0.07923119768980127,0.02159526619690228,0.21803902102780362,0.0978169293601911,0.12475103382280882,0.02653832560042155,0.15328887202126448,0.09149399706401197,0.10421219677729532,0.11781973338009488,0.05247145519786925,0.09633928533520336,CD14_monocyte
27,0.042504917379800944,0.04850396332647157,0.02941111725634858,0.06285124692545485,0.022966848344070236,0.012787816567083306,0.03507676679163134,0.02583809506066481,0.041804242491606795,0.052590406765052444,0.0687986819064266,0.06220406685726453,0.8244497271859499,0.036611025645836355,0.013843743732106081,0.06981659987232477,tumor_ecad
28,0.06642504863737142,0.08172536406891323,0.035753357686229725,0.08441875642475341,0.029887507335745144,0.031548830370465505,0.08994372812729505,0.035425869560290216,0.04596481431764765,0.030458786974263102,0.2344117768347207,0.19185443302782101,0.1191842750102486,0.04496883120306782,0.34387280560581734,0.1729375503593684,Myofibroblast
29,0.06917356828902868,0.07940595656603,0.037896381605226626,0.06452762967395978,0.031208878216149687,0.030719791136881933,0.08205411175877601,0.03724466933845347,0.043163650572161906,0.044721136756672566,0.2489553270841353,0.18261081718693875,0.24218564384331626,0.045141818711167986,0.0668284517600825,0.26095155489773875,stroma
30,0.42324207047307166,0.3262991800423817,0.0735895733708039,0.07900058466407907,0.11835175198447825,0.029396030487379182,0.3558298019281371,0.059856338528312694,0.044650849683349876,0.04515176562838725,0.07726379047785666,0.061366321497466465,0.07564717736084683,0.09570259734365524,0.030932082661398658,0.10916151054669955,immune_other
31,0.15716866032726984,0.18899825462431272,0.048727104428324584,0.11019399755236914,0.06713881016925748,0.02191340774295865,0.2045081536262823,0.05852203270275643,0.0686226792614725,0.03545439433077524,0.12137946838163767,0.08388471354364171,0.20745052748135362,0.11307356255158674,0.03490691445886965,0.10910517615768725,other
