cell_meta_cluster,pixel_meta_cluster_rename_CD14,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD3_CD4_CD45,pixel_meta_cluster_rename_CD3_CD8_CD45,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CK17,pixel_meta_cluster_rename_ECAD,pixel_meta_cluster_rename_HLADR,pixel_meta_cluster_rename_SMA,pixel_meta_cluster_rename_VIM,pixel_meta_cluster_rename_noise,pixel_meta_cluster_rename_stroma,count,cell_meta_cluster_rename
2,0.01908438736402207,0.017912195432793147,0.04026620330621303,0.05373703753427871,0.0037435733137383006,0.16838649036951742,0.6285471906408872,0.01010863429413517,0.0032809716990194987,0.004997207845180115,0.016652785642302614,0.007712459019381925,0.014069305762253617,0.008836634509087735,0.02143137673669886,1070,CD8T
7,0.02484727387297419,0.024373926622109993,0.020101085653807242,0.01476755825985983,0.0024138469083275268,0.15292079523915802,0.03993075499644994,0.009999405538243786,0.0008930623034310034,0.0026179511261834043,0.6072912116351472,0.0027134343649521733,0.02968777765956818,0.06212520845584934,0.02244714481876631,554,APC
14,0.08906690969334347,0.5792069426292785,0.03503131034147193,0.012242489641772375,0.004530023317357691,0.12259166753651185,0.01760593299319626,0.09123779120294516,0.0005354377963896355,0.003276375404292483,0.022685315593860677,0.004514893914338519,0.015116802746364434,0.04868640905942578,0.022233752628207287,165,M2_macrophage
21,0.010442625885342382,0.017141763428656854,0.09413048541836445,0.032514498427306894,0.0026152603082321363,0.7736875522362954,0.029653801071374303,0.006226748477299832,0.001378636508694977,0.001985173846642153,0.018367732088296715,0.0028712088885077783,0.007161733846026356,0.004300367642301996,0.009440150001427517,2805,CD4T
22,0.00597111362034127,0.006881139865319887,0.7599961236294813,0.02077989063133063,0.00204495505654771,0.13836873023584279,0.015767343546029898,0.0075146453684605576,0.002309905581397914,0.0002902983128646385,0.01975374698561912,0.00262731897350722,0.009483453251790478,0.004557203982782646,0.0042455530137377176,2982,Bcell
23,0.06546684002323129,0.04439111271195712,0.10329284482967747,0.02973890434050444,0.019524348687891338,0.1483253243072909,0.027375708947118212,0.38785289750584956,0.005929276889752339,0.011566465918073575,0.027196556639760276,0.01396858816103768,0.04895398279385538,0.05247112020768409,0.02764794175904074,292,M1_macrophage
24,0.015751640259935685,0.0023229876192419397,0.0012345044403562144,0.003310065532295695,0.002890189377359737,0.015408445680527733,0.004089557336019275,0.005728349061395455,0.4293777131851257,0.347692682043643,0.0014458481029348041,0.017861223685612965,0.10228371048539432,0.01407355324080788,0.058418888389632745,356,tumor_ck17
25,0.024663578550723594,0.011171984535739804,0.07407799979670344,0.022408740814351895,0.4907040211135001,0.10371090303536847,0.023554240729804502,0.012311945525661592,0.006006851496939249,0.005877372589864867,0.012004432713592517,0.04358079687794354,0.12784406632772255,0.028949047695413205,0.034987826407248554,276,endothelium
26,0.5487032888990883,0.03611033608522129,0.07733946785985835,0.005257174798353077,0.003973768138983584,0.07077422113384772,0.01633139679711949,0.056660337461704846,0.0020410056676260467,0.01237510929675547,0.015558723282713759,0.043545403376310306,0.020255277404825488,0.06894785578730389,0.0383968344704475,409,CD14_monocyte
27,0.010118622857629782,0.0006395397949874852,0.00022042243201374456,0.0002410811976202366,0.0003858324761838273,0.0033484388271762403,0.0009429214342438375,0.0009776008516188624,0.01172598623540039,0.9294827472042395,0.00019497670947929131,0.005507355005899094,0.012035786247265496,0.02008147929597409,0.008370201053328535,2476,tumor_ecad
28,0.025535034113916628,0.0058379912743795346,0.008908877781407924,0.00786251417740433,0.01582952137952038,0.039376044780954744,0.008766925854647998,0.006188082579271302,0.007320044055962207,0.02019492921788554,0.006631880237645855,0.6855257075676698,0.07586931936886944,0.017187174123825394,0.0732736513638285,306,Myofibroblast
29,0.020008463716183766,0.005635312309896753,0.005910347773724623,0.007908197624192464,0.015469909541443566,0.03712841320787837,0.008712680724784648,0.006920070213139259,0.018699747111796085,0.12921643282778641,0.00498327291568115,0.04348406666716501,0.4015232391772141,0.03420736184518076,0.2634365309761213,1614,stroma
30,0.0102809488271187,0.01277399131009247,0.07377129377288524,0.36674025414902767,0.008452754059330573,0.5355288933497587,0.03362547992036239,0.010815398617186073,0.005587975337704303,0.004877767073924465,0.013926757383819112,0.00985266588452939,0.016971470759628418,0.007507368966698016,0.015347445020212708,829,immune_other
31,0.06968464142583619,0.028170068535567284,0.046054795168574345,0.028941559617331494,0.006493825687133435,0.23767040831711497,0.021629949852919352,0.02153259532543406,0.008847688060075158,0.13574452981491897,0.038239768895158406,0.021965046466072533,0.046505928424930565,0.18165944253333516,0.07511120872486772,1202,other
